OrderItemID,OrderID,ProductID,Quantity,UnitPrice,ModifiedDate
1,1,938,1,45463.94,2025-09-15 10:43:12.000
2,1,906,3,17709.89,2025-09-15 10:43:12.000
3,1,434,3,18550.09,2025-09-15 10:43:12.000
4,1,156,5,765.37,2025-09-15 10:43:12.000
5,2,314,3,27003.65,2025-05-09 21:26:47.000
6,2,696,4,10357.32,2025-05-09 21:26:47.000
7,2,671,1,1224.48,2025-05-09 21:26:47.000
8,2,530,4,43080.88,2025-05-09 21:26:47.000
9,2,841,5,8278.4,2025-05-09 21:26:47.000
10,3,432,1,25926.46,2026-08-02 03:27:38.000
11,3,987,4,31940.76,2026-08-02 03:27:38.000
12,4,385,4,32039.04,2025-01-20 04:08:02.000
13,4,567,5,649.35,2025-01-20 04:08:02.000
14,4,175,1,22655.61,2025-01-20 04:08:02.000
15,5,686,3,38512.33,2025-10-16 08:54:28.000
16,5,120,3,41171.37,2025-10-16 08:54:28.000
17,5,964,1,25070.61,2025-10-16 08:54:28.000
18,6,651,3,36152.69,2025-09-17 10:58:27.000
19,7,896,1,40074.92,2026-04-28 22:40:57.000
20,7,467,3,2591.74,2026-04-28 22:40:57.000
21,7,15,1,19842.19,2026-04-28 22:40:57.000
22,8,497,2,23870.16,2025-02-09 13:08:58.000
23,9,469,5,19245.31,2025-12-07 12:19:41.000
24,9,343,1,30005.93,2025-12-07 12:19:41.000
25,10,653,2,7620.92,2025-01-29 01:59:42.000
26,11,641,1,14273.9,2026-01-28 23:32:58.000
27,11,431,5,5612.72,2026-01-28 23:32:58.000
28,11,717,5,1176.82,2026-01-28 23:32:58.000
29,11,80,2,33743.19,2026-01-28 23:32:58.000
30,11,235,5,41918.37,2026-01-28 23:32:58.000
31,12,338,1,1431.3,2025-09-14 10:28:49.000
32,12,459,4,10335.46,2025-09-14 10:28:49.000
33,12,37,1,23520.09,2025-09-14 10:28:49.000
34,13,438,1,38120.7,2025-04-22 19:27:00.000
35,14,636,5,23273.73,2025-03-14 09:10:48.000
36,14,763,3,79.78,2025-03-14 09:10:48.000
37,14,732,2,2412.36,2025-03-14 09:10:48.000
